2026-02-10 05:21:24 | INFO     | EXECUTION_SERVICE    |    - trading_bot.log (bot logic)
2026-02-10 05:21:24 | INFO     | EXECUTION_SERVICE    |    - command_service.log (command execution)
2026-02-10 05:21:24 | INFO     | EXECUTION_SERVICE    |    - order_watcher.log (order tracking)
2026-02-10 05:21:24 | INFO     | EXECUTION_SERVICE    |    - risk_manager.log (risk management)
2026-02-10 05:21:24 | INFO     | EXECUTION_SERVICE    |    - execution_guard.log (trade guard)
2026-02-10 05:21:24 | INFO     | EXECUTION_SERVICE    |    - dashboard.log (dashboard API)
2026-02-10 05:21:24 | INFO     | EXECUTION_SERVICE    | Loading configuration...
2026-02-10 05:21:24 | INFO     | EXECUTION_SERVICE    | Initializing ShoonyaBot (SINGLE INSTANCE)
2026-02-10 05:21:40 | CRITICAL | EXECUTION_SERVICE    | FATAL ERROR: Live feed startup failed
Traceback (most recent call last):
  File "/home/ec2-user/shoonya_platform/main.py", line 239, in main
    bot_instance = ShoonyaBot(config)
  File "/home/ec2-user/shoonya_platform/shoonya_platform/execution/trading_bot.py", line 275, in __init__
    raise RuntimeError("Live feed startup failed")
RuntimeError: Live feed startup failed
2026-02-10 05:21:40 | INFO     | EXECUTION_SERVICE    | 🏁 Execution service stopped
2026-02-10 05:21:55 | INFO     | EXECUTION_SERVICE    | ======================================================================
2026-02-10 05:21:55 | INFO     | EXECUTION_SERVICE    | 🚀 STARTING EXECUTION SERVICE (PRODUCTION — FREEZE-READY)
2026-02-10 05:21:55 | INFO     | EXECUTION_SERVICE    | ======================================================================
2026-02-10 05:21:55 | INFO     | EXECUTION_SERVICE    | PID: 2997544
2026-02-10 05:21:55 | INFO     | EXECUTION_SERVICE    | Python: 3.9.25 (main, Nov 12 2025, 00:00:00) 
[GCC 11.5.0 20240719 (Red Hat 11.5.0-5)]
2026-02-10 05:21:55 | INFO     | EXECUTION_SERVICE    | CWD: /home/ec2-user/shoonya_platform
2026-02-10 05:21:55 | INFO     | EXECUTION_SERVICE    | 📋 Log files (rotating, 50MB max, 10 backups):
2026-02-10 05:21:55 | INFO     | EXECUTION_SERVICE    |    - execution_service.log (main service)
2026-02-10 05:21:55 | INFO     | EXECUTION_SERVICE    |    - trading_bot.log (bot logic)
